task,solution,unit_score,system_score,gap_pp,status
SQLite,reference,100.00,100.00,0.00,reference_pass
SQLite,codex-subagent-001,87.50,41.67,45.83,core_strong
SQLite,openhands-deepseek-v4-pro-001,93.75,41.67,52.08,core_strong
ZK,reference,100.00,100.00,0.00,reference_pass
ZK,codex-subagent-001,83.33,58.33,25.00,core_strong
ZK,openhands-deepseek-v4-pro-001,83.33,41.67,41.66,core_strong
MiniURLUtils,reference,100.00,100.00,0.00,reference_pass
MiniURLUtils,codex-subagent-001,100.00,70.00,30.00,core_strong
MiniURLUtils,openhands-deepseek-v4-pro-001,100.00,60.00,40.00,core_strong
MiniShell,reference,100.00,100.00,0.00,reference_pass
MiniShell,codex-subagent-001,100.00,100.00,0.00,candidate_reviewed
MiniShell,doubao-seed-2-0-001,100.00,100.00,0.00,candidate_reviewed
MiniShell,deepseek-v4-pro-001,93.75,66.67,27.08,core_strong
MiniShell,gpt-5-5-thinking-001,93.75,91.67,2.08,candidate_reviewed
MiniBuildGraph,reference,100.00,100.00,0.00,reference_pass
MiniBuildGraph,codex-subagent-001,100.00,93.75,6.25,candidate_reviewed
MiniBuildGraph,doubao-seed-2-0-001,87.50,68.75,18.75,core_strong
MiniBuildGraph,deepseek-v4-pro-001,87.50,68.75,18.75,core_strong
MiniBuildGraph,gpt-5-5-thinking-001,100.00,93.75,6.25,candidate_reviewed
