task,verdict,architecture_integrity,agreement_surface,forced_by_spec,known_pattern_risk,one_shot_recomputable,feature_pure_issues,unit_overconstraint,primitive_cascade_risk,decision,next_action
MiniBitcask,RETIRE_SOLVED,"Single CLI product; current public surface exposes put/get/delete/compact/stats but not independent public log/index/recovery projections.","Weak at current scope; log/index are internal and current tests exercise one binary state machine.",false,medium,true,false,false,low,"Retire current scope.","Only replace with materially larger public WAL/index/recovery/stats lifecycle."
MiniKV,STRUCTURAL_DEAD,"Single in-memory typed key namespace; obvious native dict/list/set/hash mapping.","Weak; all system rows are solved by one store while unit misses local primitives.",false,medium,true,false,true,medium,"Retire current scope after provenance cleanup.","Do not add hidden rows; replace with a different product surface."
MiniRedis,STRUCTURAL_DEAD,"Single CLI store with one type-tagged namespace; current rows collapse to one store.","Weak; shared namespace is obvious and current system rows are solved after primitive cleanup.",false,high,true,true,true,medium,"Retire current scope.","Record feature-pure unit violations; do not continue current packet."
MiniTemplate,KNOWN_PATTERN,"Template environment has real registry/cache/include lifecycle but current Jinja-like surface is solved.","Present but saturated by Jinja2-style runtime lookup/cache patterns.",false,high,partly,false,false,medium,"Retire current Jinja-like surface; rescope only.","Use a materially different public lifecycle, not merely adjacent syntax changes."
MiniDynaconf,REPAIR_PRIMITIVES,"Layered config tree has public projections through attribute/item/get/export/reload/validators.","Promising only with larger lifecycle; current priority chain is mostly forced and current evidence is primitive-capped or system-solved.",true,high,partly,false,false,high,"Do not accept current gap; repair primitives only if rescoping.","If continuing, add multi-environment isolation, tombstones, failed configure rollback, export/import replay."
MiniPackaging,FORCED,"Version/specifier/requirement primitives are heavily standardized; resolver projection v3 still one-shot.","Current PEP surface is forced; MetadataIndex lifecycle may be a new scope but not the old task.",true,high,true,false,true,medium,"Retire PEP-only surface; rescope as custom repository lifecycle if used.","Build custom package repository with add/update/remove/apply/export/import/revision/dependents."
MiniMarkdown,COLLAPSE,"Parser/workspace has multiple public projections, but current slug/tree surfaces are near-solved.","Current surface collapses through shared helpers and materialized views remain below gate after fairness cleanup.",false,high,partly,false,false,low,"Do not accept; provenance-retire or materially rescope.","Do not ban helpers; require update/delete/import replay across public materialized projections if continuing."
Xitkit,EXCLUDED,"No reliable public product surface identified.","No clear agreement surface.",false,low,unknown,unknown,unknown,unknown,"Exclude.","Do not advance without new source evidence."
MiniAptly,BUILD,"Archive manager with package pool, local repos, immutable snapshots, published repos, cleanup/recovery journal, and graph/index outputs.","Strong; package identity/checksum/snapshot/publish/reachability must agree across repo, snapshot, published tree, indexes, cleanup, graph, and recovery.",false,medium,false,false,false,medium,"Proceed to enrichment brief and forward audit.","Use simplified aptly-inspired lifecycle; avoid full Debian/GPG/apt compatibility and static index-only scope."
MiniMigrationManager,BUILD,"Migration workspace with revision DAG, migration files, current version table, schema snapshot, applied-step ledger, rollback journal, and planning/report views.","Strong; graph/history/current/schema/plan/ledger must agree across branch, merge, stamp, downgrade, and failed transactional migration workflows.",false,medium,false,false,false,medium,"Proceed to enrichment brief and forward audit.","Use toy DDL and custom revision files; avoid exact Alembic API/file-layout cloning and linear-only migration scope."
